Target,Model,step,RMSE
Trefoil,MLP,101,0.019527
Trefoil,MLP,151,0.015492
Trefoil,MLP,201,0.013848
Trefoil,MLP,251,0.012489
Trefoil,MLP,301,0.010197
Trefoil,MLP,351,0.010681
Trefoil,MLP,401,0.014594
Trefoil,MLP,451,0.007684
Trefoil,MLP,501,0.015143
Trefoil,MLP,551,0.007698
Trefoil,MLP,601,0.008502
Trefoil,MLP,651,0.007103
Trefoil,MLP,701,0.008052
Trefoil,MLP,751,0.006638
Trefoil,MLP,801,0.023894
Trefoil,MLP,851,0.006243
Trefoil,MLP,901,0.032274
Trefoil,MLP,951,0.012642
Trefoil,MLP,1001,0.006157
Trefoil,MLP,1051,0.023095
Trefoil,MLP,1101,0.006172
Trefoil,MLP,1151,0.007058
Trefoil,MLP,1201,0.007646
Trefoil,MLP,1251,0.006062
Trefoil,MLP,1301,0.016838
Trefoil,MLP,1351,0.005597
Trefoil,MLP,1401,0.006511
Trefoil,MLP,1451,0.023611
Trefoil,MLP,1501,0.005313
Trefoil,MLP,1551,0.007896
Trefoil,MLP,1601,0.005210
Trefoil,MLP,1651,0.004703
Trefoil,MLP,1701,0.006171
Trefoil,MLP,1751,0.004438
Trefoil,MLP,1801,0.004325
Trefoil,MLP,1851,0.020273
Trefoil,MLP,1901,0.005021
Trefoil,MLP,1951,0.005274
Trefoil,MLP,2000,0.004821
